Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2022-10-20,4.80246,4.80863,4.7631,4.77056
2022-10-21,4.77115,4.7895,4.76252,4.77635
2022-10-24,4.77863,4.79335,4.76764,4.78732
2022-10-25,4.78734,4.7915,4.75714,4.76623
2022-10-26,4.76603,4.77483,4.72547,4.74385
2022-10-27,4.74402,4.76336,4.71727,4.72342
2022-10-28,4.72421,4.73742,4.71378,4.71835
2022-10-31,4.72131,4.73215,4.70557,4.71748
2022-11-01,4.71739,4.71947,4.69816,4.70277
2022-11-02,4.70277,4.71139,4.69691,4.70594
2022-11-03,4.70448,4.71527,4.69185,4.69535
2022-11-04,4.69535,4.69682,4.67618,4.68789
2022-11-07,4.68699,4.69484,4.66909,4.67135
2022-11-08,4.6711,4.69654,4.66962,4.69072
2022-11-09,4.68864,4.71824,4.68681,4.712
2022-11-10,4.71204,4.7258,4.67759,4.68803
2022-11-11,4.68845,4.69451,4.67157,4.67925
2022-11-14,4.67544,4.71815,4.67427,4.71126
2022-11-15,4.71298,4.7488,4.68286,4.72105
2022-11-16,4.71561,4.78497,4.68312,4.69795
2022-11-17,4.6992,4.71912,4.68649,4.70576
2022-11-18,4.706,4.71318,4.69389,4.69862
2022-11-21,4.70021,4.716,4.69354,4.69547
2022-11-22,4.69565,4.71756,4.69557,4.70348
2022-11-23,4.70359,4.71711,4.69329,4.70044
2022-11-24,4.70134,4.71149,4.69404,4.69814
2022-11-25,4.69716,4.70105,4.68522,4.69248
2022-11-28,4.69482,4.6978,4.67014,4.68779
2022-11-29,4.68751,4.68751,4.66862,4.67885
2022-11-30,4.67807,4.68214,4.65937,4.67079
2022-12-01,4.67079,4.70964,4.66806,4.69034
2022-12-02,4.69028,4.70128,4.67591,4.67839
2022-12-05,4.67579,4.71931,4.6702,4.71101
2022-12-06,4.71104,4.72123,4.68785,4.69143
2022-12-07,4.69179,4.7109,4.68709,4.69983
2022-12-08,4.69974,4.70265,4.67935,4.68216
2022-12-09,4.6816,4.69866,4.67638,4.68851
2022-12-12,4.69123,4.69963,4.68502,4.69084
2022-12-13,4.69173,4.70105,4.68347,4.68678
2022-12-14,4.6866,4.71479,4.67649,4.6817
2022-12-15,4.68374,4.70046,4.6779,4.69298
2022-12-16,4.6923,4.69878,4.68185,4.68649
